" There are a small handful of cheap places to stay in Agumbe,"	
 The cottage had a large room and next door a small plunge swimming pool just about deep enough and big enough for one stroke.	1
 This shop was jammed full with Indian tourists.	1
"The lodge where we are staying is a luxury place,"	1
 we hired one of the Guide on location who took us around the Fort .	1
My immediate requirement was to look for a lodging arrangement at Bijapur.	1
 I could not manage confirmation from any of the hotels.	1
 There were seven-eight queues each consisting at least hundred vehicles.	0
In my queue I noticed that the toll challan was issued by a person standing after the toll gate.	0
" Two young Motor Cycle riders were lying on the road in a pool of blood,"	1
decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.	0
 This worked well as I managed to avoid a siesta which would be risky in a long drive.	1
I tried to look for a lodging near the bus stand.	1
Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.	1
" I have been going through lot of blogs since many years and this travel blogger Shivya Nath is one of my favorites who had written about how to start solo travelling where she stated to start a solo trip with a known place that you are comfortable with and there you go,"	0
 I just wanted to feel comfortable in one place and come out of my hidden fears.	1
 As comfortable as I want to be and as adventurous as I can be.	1
 I managed to walk all through gazing at the moon by telling thanks for shedding the light while I walked!	1
" somehow we managed to calm our mind,"	1
decent dinner.	0
 The handicrafts are sold in different shops around India.	1
Later we had a relaxing breakfast in a decent rooftop restaurant.	1
 but properly maintained except few places.	1
Hotel Annamalai (Rs 650/-) was a place with basic facilities and Parking lot.	1
 A beautiful place with shops and market as also lodging facilities.	1
 A nearby Hotel named Sarovar was managed by a lady.	1
 There were lot of resorts/Home Stays in both sides of the road.	1
We reached KTDC Kumarakom Resort (Rental Rs.	1
 There were several small-sized canals within the area and canal view rooms (which we originally booked and less costly) were located by the side of the canal.	1
 amenities and luxurious arrangements of the boat.	1
Night buffet dinner at the resort was quite costly (Rs.	1
 Walking into the huge garden within the resort was enjoying experience.	0
" with dining table luxurious sofa-sets,"	1
 We were disappointed but there was no other choice.	1
 equipped with all facilities expected in a star hotel.	0
" Large no of shops were visible in that area selling varieties of food items,"	1
We also crossed the other side of the river and hired bikes to 'monkey' temple with its 600 steps to the top.	1
For one of the days we hired a taxi for a visit to Bandipur National Park for a tiger safari.	1
Reached Kudle Beach resort by 2pm with a couple of breaks.	1
 It was a lovely resort with an awesome view of the Kudle beach.	1
Bang opposite the resort is a beautiful hillock.	1
Opposite the Kudle resort is a Shiva cave.	1
 we made it and after we claimed our luggage we found my brother-in-law amongst the throng of hired drivers looking for their patrons.	1
 We took a taxi from the airport to our hotel took about an hour and a half door to door.	1
" I had that thought about 20 minutes earlier as our cab driver had passed 15 people,"	1
 Apparently its the more remote resorts such as retreats in the jungle somewhere away from any other hint of civilisation.	1
 We somehow managed to find a train leaving the following day and booked it straight away.	1
 toast and a free taxi to the train station - all on the house.	1
 We did manage to take some adorable pictures though.	1
After lots of picture taking and as much sun exposure that we could manage we walked back towards the boat jetty.	1
"What really surprised us when talking to him was that although he has managed to forge a way of life for himself and even his siblings,"	1
" The lodge is at the end of a 200 metre dirt driveway from the main road,"	1
 making for a very spooky walk to the nearby resort hotel for dinner and back again.	1
 we only then saw the other buffalo hidden in the bushes to the left getting read to charge us - jumping around in a circle and snorting like crazy.	1
 The fact that I was not so alone in the hotel did make the second night a bit easier to sleep through.	0
" Taking a taxi from Ooty to a tiny forest outpost called Singara around 30km away took me down from the hills again,"	1
 a monkey tried to get inside the taxi but fortunately I had rolled the window up.	1
"The taxi driver dropped me off in the jungle outpost â€œtownâ€,"	0
" the owner of the lodge I had booked into,"	1
" I had booked myself into the lodgeâ€™s stunningly sited Tree House,"	1
 not cheap â€“ I consider it my â€œsplurgeâ€ during this trip!	1
" including the luxury suite with its two bedrooms,"	0
" I was disappointed with the rain,"	1
 but certainly didnâ€™t want to find myself having to run away from something only to fall face down into a muddy pool and have the thing catch up with me.	0
" both ready to charge at any minute,"	0
" in the most wonderful and comfortable hotel with an array of fantastic hotel freebies including talc,"	0
 from the comfort of my very own spare bedroom in my beautiful little house in Croydon.	1
 Hired vehicle and of course private vehicles.	1
 while on other side of Karwar district only Government Inspection Bunglow and some private shops were located.	1
" Had tea and small chat with shop-owner,"	0
 Gradually we came nearer with Resorts and Cottages in between.	1
 Suddenly we observed that there was not enough â€œChargeâ€ in our mobile.	1
 We forgot to charge our mobile last night.	0
 So the immediate requirement was to conserve the charge remaining in the mobile as much as possible.	0
" including many volunteers and travellers passing through,"	0
" The rent is cheap (200 rps plus some volunteer work per day) and so I worked a bit now and then on digging a pool,"	1
 The first time I met some people volunteering at Buddha Garden who invited me to join them the following Monday.	1
 There was also a big meeting (about 200 attendees) I attended where people discussed the issue of building a road through a place called Pony Farm.	1
"The next day I met up with some Buddha Garden people at one of the lodging areas,"	1
 Sadhana Forest is an all-vegan reforestation/restoration project with over 1000 volunteers per year.	1
 Haiti and another location in India) and then we watched the first part of a documentary on all kinds of issues mankind is experiencing nowadays.	1
The last day I hung out with Madi before the taxi showed up at the Youth Centre to take me away to the Pondicherry bus station.	1
 150 rupees to get to Mysore is not a whole lot of money so I took the taxi (which fit 10 people) and got to Mysore about 3 hours later.	1
 I thought of doing some sight-seeing in Mysore but touristing with my house on my back and lack of sleep didnâ€™t seem like a fun idea so instead I went to a hotel where they had wifi and I could charge my laptop and phone.	1
" TV and internet cables,"	1
" local shops ambience,"	1
 feeding the micro-organisms in the soil and allowing other plants and animals and so on to live as well.	1
 We manage this despite a delay caused by the fact that the mobile phone signal is too weak to allow us to pay our bill by credit card and we have to scrabble around to see if we have enough to pay by cash instead.	1
" We encounter Mr H as we set out before breakfast to find an ATM to replenish our cash,"	0
 and suggest to him that we hire an auto rickshaw driver to show us the way.	1
" but unfortunately that's not possible right now due to an unstable internet connection,"	1
 I feel very comfortable here and have been considering the reasons.	0
"We return to the lodge where the occupants of one very full jeep,"	1
"leave the lodge and set off for the hills in Wayanad,"	0
We return to the lodge for breakfast and start the mega-task of downloading and editing the photos before heading out again at 3.	0
" We manage to get photos of a brilliant blue Indian kingfisher,"	1
" She manages to render three roadside toilets (one in a petrol station and two in a hotel,"	1
"After six hours we roll into our lodge in Kabini,"	0
 The number of visitors per day is limited so you donâ€™t want to find you are staying in a nice lodge but cannot get into the park!	1
Carry with you adequate drinking water as no shops are available in most of the parts.	0
 The market place with miles forgotten shops which sold gold-silver jewellery in return of horses must have been splendid.	0
 Had my lunch in Kolhapur and after some shopping left for Pune.	1
 and I was amazed at the skill of the painters whoâ€™d managed to paint a cow in one of the frescos whose eyes and face literally followed you as you walked past it.	1
 so we settled in the hotel lobby with the free wifi and caught up on our travel notes.	1
 the wifi only worked in the lobby.	1
" As was the case in all the smaller shops and cafes we went to,"	0
 you could be relegated to lying in your bunk very early in the journey rather than sitting comfortably until youâ€™re ready to sleep.	0
 I packed a few layers of clothing and a warm jacket for when the aircon was cranked to â€˜arcticâ€™.	0
 we really enjoyed some extensive shopping experience.	1
" a really beautiful part of Bangalore: new shopping malls for the middle class,"	1
 For lunch we managed to get a table in the famous and delicious Queen's Restaurant in Church Street.	1
" visited some of the little shops til we finally reached Krishnarajendra Market,"	1
 a fantastic shopping street with small shops galore!	1
 The Thali is really good and cheap - but it is extremely spicy!	1
 We had to wait in a queue for 20 minutes but without much hassle and much pushing.	1
 food was decent and later we could sit along the river and enjoy the sound of frogs.	1
 But somehow we managed to find a local bus to Shravanabelagola.	1
 The whole trip set us back about 1 US$ per person one way - that looked like another really cheap day!	1
 This hotel is the only decent sleeping option here.	1
What a cheap an fulfilled day it was!	1
 Somehow we managed with 4-5 breaks in between.	1
 A must visit place in south India - all 3 destinations can be comfortably covered in a day's time.	1
 We arrived at the bus station in Hassan and were really surprised how clean and well organized this bus station is.	1
" We arrived in Halebid and quickly found the only decent hotel in this grab little town,"	1
 as there was only one alternative: the Shree Lodge a few meters away.	1
" it was cheap (even though for the shithole we got,"	0
" The lodge is about 10 years old,"	1
 They had a huge and cheap room available.	1
 accomodation is sometimes a lottery while travelling.	1
 There is nothing to see in Hassan but it is ok for some cheap shopping.	1
" We did manage to see various wildlife,"	0
 we managed to see a few black faced monkeys.	1
 I driver of the lodge took us there.	1
 After a wonderful lunch (I was feeling much better at that time) we went for a walk around the hills of the lodge before we enjoyed a nice bonfire.	1
 faster and easier to have our own driver than to take a riskshaw to town and a bus to Kushalnagar and another rickshaw to Bylakuppe.	1
 It is a beautiful and really well maintained temple.	1
" inside they'd managed to cram as many seats as a small airplane,"	1
 which seemed reasonable until the last night when I noticed fucking cockroaches crawling all over the place!	1
Now to Thrissur to meet Anu (from the Raleigh project that I volunteered with last year)!	0
" 450rs they hire a push iron (bicycle) for you,"	1
 they did a decent job.	1
"Next day I hire a push iron (bicycle for none northerners) 50rs for the day,"	1
we cross a lawn between that we can see lots of foreigners with there kids and as always they charge more from them but later we found they also get good seats.	1
 We chose to stay way down South in Palolem and very pleased we did as it was a lovely quiet resort with a wonderful bay.	0
From Goa we flew to Bangalore (short 1hr 10min trip) and then took a cab onto Mysore which we'd expected to take 4 hours but had omitted to take into account the rush hour in Bangalore so ended up being nearly 6 hours.	1
 Fog is a luxury we canâ€™t afford).	0
 but we managed to have fun; we thought we deserved it for all the walking we did.	0
" we shopped at Coorgh spices for tea,"	0
 On the last beach in the row we hired a boat which took us to the beaches not easily accessible.	1
 We managed to spot some dolphins too in the ocean.	1
 I and Varun managed to get far ahead of Pawan and Imon and hence decided to take a detour onto a road which looked like going nowhere.	1
 Managed to find a cheap room for four of us.	1
 We hired at auto rickshaw driver who became our tour guide as well and took as around some temples and important places of the Madikeri town.	1
 I know the streets and some shops where I have become a regular customer give me a sense of safety.	1
" expensive supermarket for local standards but a must for western comfort food) so I finally made a delicious pork and fennel pasta topped with Granda Padano and plan to cook goat soon,"	1
 Something all people must know is the rickshaw and taxi guys see foreigners as an easy pass to getting free stuff.	0
" a main branded shopping street in Bangalore when a cabbie approached me,"	0
" you will not be charged a fortune,"	0
 and ladies if you are not comfortable with someone you don't know touching your breasts I do not recommend this.	0
 Never travel in a cab or rickshaw without the metre.	0
 extreme comfort worn throughout the places I visited.	0
" They stepped outside of their comfort zones and inspired me,"	1
 a more comfortable sleeping/shower option and then we head to her parents place to meet them.	1
 This temple seemed to have preserved better and the grounds were really well maintained with greenery and a garden surrounding it.	1
" my escort leads me straight on to the road where we are walking amongst the taxi traffic,"	1
 After finally getting ushered to the cab rank and getting in the cab we are off in to the extremeness of the traffic.	1
" I'm feeling like I can cope with this forgetting that I am cushioned from the real environment of the city in his luxury car and his knowledge of were to go (he took me to a palace for lunch,"	0
" but by the time a rickshaw driver with decent english finally pointed me to the right road,"	1
" on the way I ask the internet shop man about getting a dongle,"	1
" but first I am given the Wifi code and an internet dongle now,"	1
 we also looked at lots of pictures on the internet and decided we had to go if we were near it.	1
" shopping bag full if cooked rice,"	1
 We bargained down a decent room which had a roof terrace so we could watch the sunset over one of the main temples which was pretty much on our door step.	1
 we followed what we thought was the path- there were arrows but we still managed to take the wrong arrow ending up in someones back garden!	1
 Finally after asking about 5 taxi drivers and arguing over 50p and 1pounds (it's the principle) we got moving to the main shopping area for some air con action and 'stuff'.	0
 Some Indian youths were spotted disporting themselves in the pool this afternoon.	0
 the good news is that the hotel is clean and the room comfortable (though it is a shame that there is an external light pointing straight into our bedroom through the exceedingly thin curtains).	0
 but instead wander back to the car through the numerous stalls selling trays of fruit and flowers for temple offerings and a range of cheap plastic toys and souvenirs.	1
" We were elbowed aside brutally in the queue to buy a ticket,"	1
 we joined a long winding queue of visitors.	0
 internet in the room and a good restaurant.	0
 all ridiculously attired in one way or another and exchanging a polite â€œgood morningâ€ in some sort of show of solidarity in the face of adversity (etiquette has to be maintained you know).	1
" an invitation from a fierce looking transvestite to enter her shop which is politely declined,"	1
" The young things who were hanging out in the cafe were lounging on comfortable cushions and mats on the floor,"	0
 he correctly surmising we would not have been very comfortable on the floor.	1
 After splurging Â£3 on lunch we fill in the rest of the time by drifting round the shops selling clothing for backpackers and leather goods that will stink the place out when you get them home and realise they have not been properly cured.	0
 Along the way we see Western tourists toiling up hills on bicycles or risking life and limb on hired motorbikes.	0
" not a mere resort but a heritage village,"	0
 recommended to us by our guide at Hyderabad and charging a modest Â£9 for three hours.	1
 The mystery of the white rabbit resolved itself when the manager appeared clutching two tiny brown rabbits by the scruff of their necks and proceeded to feed them milk.	1
 We gave up at that point and took comfort in beer.	1
" The management do not even bother to check us out,"	1
â€ sorry to disappoint) is a cluster of temples built from the 5th to the 8th centuries.	0
"We lingered in the comfort and luxury of the Falaknuma for as long as we could this morning,"	0
" which would once have been the main shopping street,"	1
 handily located above a clothing store and a shop selling TVs.	1
 The manager offered to bring hot water upstairs by the bucket load but somehow that didnâ€™t seem like much of a solution.	1
Every house or shop has a little shrine area.	0
 I spent much time warning him that the satellites could fall from the sky and the Internet could breakdown whilst happily following his GPS I Phone and using his various apps to help me identify various onward travel options.	1
 I have a decent Interweb connection in my new place so I can spend some much needed time looking at the logistics of a trip up there.	0
 with this superfast Internet connection I hope to make amends.	1
 I really like train travel and its all so comfortable and well organized.	1
 shops selling everything from clothes to leather goods and jewelry and of course bakeries selling western style munchies.	1
 The sunset did not disappoint either except for the few too many other people who came as well.	1
 I was up before sunrise the chai shops were already crancking up so of course I had one to start the morning.	1
 found a cheap homestay for us a bit out of town: the Rooftop Retreat.	1
 Back in town it was time for a late lunch before we did some big shopping which was good fun and we made some really good deals concerning clothes.	1
"We are still swanning around in luxury; lovely Thai dinner last night,"	1
 crisp clean sheets and thick luxury towels- oh so mmmmmmmm.	1
Shopping was great and it was back to the lap of luxury!	1
 we decided we would like a decent hotel before we left India so we talked to a local who recommended the Oberoi.	1
 wanted to buy cheap saris for all 15 girls in her class.	1
 There was some difficulty in connecting with the other half of the group who had been to the markets.	1
 is a very beautiful place which I had been waiting to explore since quite sometime now which finally we (me and my husband) managed to plan it in December 2013 from 21st to 25th.	0
 hired a rick which charged us around 180Rs to drop us till Virupaksha temple.	1
We hired a bike for all the 4 days and thoroughly enjoyed our stay.	1
 Hiring a bike gave us the flexibility of reaching a place at our pace and not being bothered.	1
 Bike is charged abt 200Rs per day and 100 Rs/liter petrol.	1
"We had hired a guide for few hours to show us around Vitthala temple ,"	1
" In the city you occasionally pass the luxury car in your auto-rickshaw,"	1
" he had a woman housekeeper who cooked and served the most delicious food,"	0
" The journey wasn't the most comfortable as it was hairpin bend after hairpin bend and lots of overtaking going on,"	1
" David was disappointed that Europeans don't barter,"	0
 he came with us and after we had looked at the obligatory tourist shop went to a local place and he stood back whilst Col bartered and he was dead impressed!	0
" Later Sal had a hawker selling ankle bells which was not on the shopping list but it's all a game,"	1
" Shopping is a big deal in India and here the smart shops mixed with the more traditional shops,"	1
 But the shops beckon.	1
" Yet another invites us into his shop filled with drums,"	1
 Children with pails playing in the pools between rocks the sea forgot to take back.	1
 I did not bother to queue to see inside the temple or to get a free darshan (the lines were too long).	1
 we started at 11 AM as check-in @ resort would be at 2 PM.	0
 My conviction got further strengthened as we could maintain an average speed of 60+ for first half an hour or so (close to Sullya).	1
" â€˜swimming poolâ€™ in the after-noon,"	1
 and we managed to reach on time.	1
 We were back at the resort at about 1:30 PM as 1 piece each after the first adventure.	1
"Kids had the urge to immediately get into the swimming pool after lunch,"	1
 We went to the swimming pool at about 4 PM and there was little drizzle and water was freezing cold.	1
 Anagha swam in the 4 FT pool and I tried my â€˜once in a yearâ€™ kind of swimming attempt.	1
 Residents of the resort were split into 2 teams and mostly â€˜bollywoodâ€™ based quiz was conducted.	1
 From each team volunteers were called up to answer questions.	1
" The return trek was easier than the forward as we were walking down the known path,"	1
 Now we had to rush back to the resort before the start of evening activity.	1
" With some shopping on the way back,"	1
At the bus station the taxi driver told me ''It's that bus''.	1
 I just made myself comfortable and ready for bed.	1
 There is a frequent boat/coracle service which charges 10/50 rupees per trip respectively.	1
 This temple is indeed of much interest and worth taking a guide who charges 150 rupees.	1
 You can take a ride on the electrically operated vehicle which drops you at the gate side and charges 10 rupees each passenger.	1
One could also include Thanjavur in the itinerary which is known as the granary of South India due to its extensive paddy growing fields which are a feast for the eyes'As regards accomodation at Kumbakonam one can pick and choose an accomodation suited to one's budget.	1
" so hired one,"	1
 we got down from the cab for an early morning photo-shoot near some estate gate.	1
 we got down from the cab as we could not see anything in the front.	1
") we were anticipating soon we have to come out of the cab and push it from behind,"	0
" and Swamy sat in the cab only in towel,"	0
" A young lady from the small shop made tea for us from her house just behind the shop,"	0
 Again we got into the cab and later realized I was wearing the same pullover.	1
 but we were so disappointed to hear from the localities that the trek tem with the guide had left an hour before we reached.	0
 The disappointment of the trek miss throgh amazing kudremukh hills faded a bit after the food.	0
 Hanumana Gundi Falls is managed and maintained by forest department of the state government.	1
 we were disappointed to learn that most people that come here for the Yoga was on a month training basis etc and there were generally specific dates that courses started on.	1
